order_id,order_date,customer_id,product_id,product_name,category,region,country,quantity,unit_price,revenue,cost,profit,sales_channel,profit_margin_pct
ORD-000001,7/1/2024,CUST-03409,PROD-02018,Desk Organizer,Office Supplies,South,Sri Lanka,4,3826.96,15307.84,11930.63,3377.21,Online,22.06
ORD-000002,7/1/2025,CUST-01621,PROD-04585,Laptop,Electronics,West,UAE,1,1520.65,1520.65,1089.46,431.19,Partner,28.36
ORD-000003,2/6/2024,CUST-02421,PROD-04306,Printer Paper,Office Supplies,East,India,3,1223.3,3669.9,1867.03,1802.87,Offline,49.13
ORD-000004,1/14/2024,CUST-01697,PROD-03271,Monitor,Electronics,East,Malaysia,3,872.78,2618.34,2053.3,565.04,Offline,21.58
ORD-000005,9/26/2025,CUST-01989,PROD-06588,Installation,Services,North,India,1,1688.22,1688.22,1012.82,675.4,Online,40.01
ORD-000006,8/17/2025,CUST-03352,PROD-04006,Notebook,Office Supplies,North,India,10,1982.88,19828.8,13691.78,6137.02,Offline,30.95
ORD-000007,6/7/2024,CUST-02353,PROD-06405,Laptop,Electronics,North,India,2,1327.14,2654.28,1545.31,1108.97,Online,41.78
ORD-000008,5/8/2025,CUST-01092,PROD-02003,Laptop,Electronics,West,India,1,1256.33,1256.33,661.52,594.81,Online,47.35
ORD-000009,11/24/2024,CUST-01147,PROD-08508,Security Suite,Software,East,Thailand,1,279.33,279.33,186.83,92.5,Online,33.11
ORD-000010,9/5/2025,CUST-01765,PROD-08837,Desk Organizer,Office Supplies,East,Malaysia,1,1137.59,1137.59,592.46,545.13,Online,47.92
ORD-000011,3/23/2024,CUST-03367,PROD-04416,Smartphone,Electronics,North,India,3,913.35,2740.05,1697.27,1042.78,Online,38.06
ORD-000012,7/9/2025,CUST-02897,PROD-04066,Headphones,Electronics,West,Saudi Arabia,10,686.36,6863.6,4921.7,1941.9,Partner,28.29
ORD-000013,8/2/2025,CUST-03000,PROD-07502,Analytics License,Software,West,India,10,3682.36,36823.6,28308.19,8515.41,Online,23.12
ORD-000014,7/13/2025,CUST-01552,PROD-05699,Bookshelf,Furniture,North,Nepal,2,2660.93,5321.86,3239.68,2082.18,Online,39.13
ORD-000015,7/22/2025,CUST-03195,PROD-08378,Monitor,Electronics,North,Nepal,3,1600.12,4800.36,3339,1461.36,Partner,30.44
ORD-000016,8/9/2025,CUST-02843,PROD-07245,Headphones,Electronics,North,India,3,374.55,1123.65,910.66,212.99,Online,18.96
ORD-000017,1/22/2024,CUST-02010,PROD-07784,Desk Organizer,Office Supplies,South,Singapore,1,841.04,841.04,493.08,347.96,Online,41.37
ORD-000018,5/11/2024,CUST-03268,PROD-05259,Meeting Table,Furniture,East,Thailand,1,3563.94,3563.94,1712.21,1851.73,Online,51.96
ORD-000019,4/9/2025,CUST-01804,PROD-03887,Consulting,Services,South,India,2,736.18,1472.36,733.1,739.26,Online,50.21
ORD-000020,3/31/2025,CUST-03265,PROD-01479,Printer Paper,Office Supplies,South,Singapore,2,1176.78,2353.56,1150.56,1203,Partner,51.11
ORD-000021,10/28/2024,CUST-01165,PROD-03325,CRM License,Software,East,India,3,1600.48,4801.44,2920.71,1880.73,Partner,39.17
ORD-000022,9/23/2024,CUST-03039,PROD-02075,Smartphone,Electronics,North,Nepal,1,1312.2,1312.2,907.39,404.81,Online,30.85
ORD-000023,1/29/2025,CUST-03031,PROD-07686,Monitor,Electronics,South,Sri Lanka,2,723.3,1446.6,812.68,633.92,Offline,43.82
ORD-000024,4/29/2024,CUST-02615,PROD-01194,Desk,Furniture,South,Sri Lanka,3,686.6,2059.8,1547.66,512.14,Online,24.86
ORD-000025,9/2/2024,CUST-02866,PROD-08761,Security Suite,Software,South,India,1,1523.84,1523.84,1020.03,503.81,Online,33.06
ORD-000026,7/21/2025,CUST-01094,PROD-04367,Printer Paper,Office Supplies,West,UAE,2,821.86,1643.72,1202.63,441.09,Offline,26.83
ORD-000027,2/7/2024,CUST-01555,PROD-03435,Maintenance,Services,North,Bangladesh,1,467.32,467.32,277.51,189.81,Online,40.62
ORD-000028,9/1/2024,CUST-02116,PROD-09011,Analytics License,Software,East,Malaysia,2,4138.34,8276.68,6325.75,1950.93,Offline,23.57
ORD-000029,1/21/2024,CUST-01929,PROD-07786,Headphones,Electronics,East,India,1,1544.21,1544.21,1183.79,360.42,Online,23.34
ORD-000030,4/19/2024,CUST-01298,PROD-05873,Pen Set,Office Supplies,North,Nepal,4,519.17,2076.68,1082.28,994.4,Online,47.88
ORD-000031,8/28/2025,CUST-01263,PROD-03920,Desk Organizer,Office Supplies,East,India,1,173.25,173.25,108.69,64.56,Offline,37.26
ORD-000032,1/28/2025,CUST-01965,PROD-09863,Desk,Furniture,North,Nepal,1,626.97,626.97,489.21,137.76,Online,21.97
ORD-000033,2/13/2025,CUST-03346,PROD-08446,CRM License,Software,North,Bangladesh,1,939.85,939.85,589.33,350.52,Offline,37.3
ORD-000034,10/9/2025,CUST-01519,PROD-06121,Installation,Services,West,Saudi Arabia,3,278.59,835.77,570.37,265.4,Offline,31.76
ORD-000035,1/8/2024,CUST-01235,PROD-04141,Bookshelf,Furniture,West,India,5,412.16,2060.8,991.67,1069.13,Online,51.88
ORD-000036,3/19/2025,CUST-02995,PROD-02112,Analytics License,Software,West,UAE,3,480.44,1441.32,928.04,513.28,Offline,35.61
ORD-000037,11/23/2024,CUST-01639,PROD-04374,Monitor,Electronics,South,Singapore,1,2162.66,2162.66,1168.84,993.82,Offline,45.95
ORD-000038,10/16/2024,CUST-01265,PROD-06313,Security Suite,Software,North,Bangladesh,1,700.66,700.66,442.17,258.49,Online,36.89
ORD-000039,5/25/2025,CUST-02414,PROD-05453,Cloud Storage,Software,East,Malaysia,3,382.38,1147.14,733.7,413.44,Online,36.04
ORD-000040,12/26/2024,CUST-02941,PROD-08978,Desk,Furniture,South,Singapore,4,278.25,1113,718.21,394.79,Online,35.47
ORD-000041,8/21/2025,CUST-01388,PROD-03663,Installation,Services,North,Bangladesh,1,770.39,770.39,585.28,185.11,Partner,24.03
ORD-000042,12/16/2025,CUST-02202,PROD-08132,CRM License,Software,South,Sri Lanka,1,508.88,508.88,260.09,248.79,Online,48.89
ORD-000043,8/6/2024,CUST-03003,PROD-09652,Desk,Furniture,North,Nepal,2,1779.04,3558.08,2283.7,1274.38,Offline,35.82
ORD-000044,2/9/2025,CUST-02366,PROD-08345,Monitor,Electronics,West,UAE,4,2841.46,11365.84,7032.33,4333.51,Online,38.13
